,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
3336,vwvolkswagen,28000,sedã,voyage,manual,2014,122000,1.6,flex,hidráulica,branco,não,voyage 1.6 1.6 city  mi total flex 8v 4p,4 portas,de leilão,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som",0
3337,ford,43900,passeio,ka,manual,2018,27645,1.5,flex,elétrica,branco,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme",0
3338,ford,49000,sedã,focus,automático,2016,44000,2.02.9,flex,elétrica,preto,não,focus sedan 2.0 16v 2.0 16v flex 4p aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som, sensor de ré",0
3339,ford,42890,0,fiesta,0,2018,24000,0,flex,elétrica,0,sim,fiesta se 1.6 8v flex 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica",0
3340,vwvolkswagen,48900,hatch,up,manual,2018,35000,1,flex,hidráulica,vermelho,sim,up  cross 1.0 tsi total flex 12v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
3341,ford,16500,suv,ecosport,automático,2014,80000,2.02.9,flex,elétrica,vermelho,sim,ecosport freestyle 2.0 16v flex 5p aut.,4 portas,financiado,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3342,vwvolkswagen,40500,pickup,saveiro,automático,2014,60000,1.8,flex,hidráulica,vermelho,não,saveiro cross 1.6 mi total flex 8v ce,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
3343,vwvolkswagen,29900,sedã,voyage,manual,2014,80000,1,flex,hidráulica,branco,sim,voyage  trendline 1.0 t.flex 8v 4p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",
3344,vwvolkswagen,21000,0,gol,manual,2013,100000,1.6,flex,hidráulica,preto,0,gol  novo  1.6 mi total flex 8v 4p,4 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme",1
3345,vwvolkswagen,29200,passeio,fox,manual,2013,110000,1.6,flex,elétrica,branco,não,fox rock in rio 1.6 mi total flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",
